Protein Group Identifications: Injured vs Non-injured No Diet Kidney Lysate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3945 identified protein groups with >= 2 unique peptides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 min DIA sample files  were searched with 120 min Deep Library in Spectronaut v16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Apoc1,Apolipoprotein C-I,P34928,"endoplasmic reticulum,very-low-density lipoprotein particle,high-density lipoprotein particle,extracellular exosome","triglyceride metabolic process,cholesterol metabolic process,negative regulation of phosphatidylcholine catabolic process,negative regulation of very-low-density lipoprotein particle clearance,negative regulation of cholesterol transport,cholesterol efflux,phospholipid efflux,plasma lipoprotein particle remodeling,chylomicron remnant clearance,very-low-density lipoprotein particle clearance,lipoprotein metabolic process,negative regulation of fatty acid biosynthetic process,negative regulation of receptor-mediated endocytosis,negative regulation of lipoprotein lipase activity","phospholipase inhibitor activity,fatty acid binding",5.77E-19,3,2,3,3,2,2,2,2,3,2,3,3,2,2,2,2,134.6403046,102.7167435,119.8919525,1309.505127,108.6020889,58.34190369,97.0525589,23.30849457
Reg3b,Regenerating islet-derived protein 3-beta,P35230,extracellular region,"acute-phase response,defense response to Gram-negative bacterium,defense response to Gram-positive bacterium",carbohydrate binding,1.19E-21,Filtered,3,2,3,3,5,6,5,Filtered,3,2,3,3,5,6,5,Filtered,364.1229553,18.34849358,6.303034306,76.74528503,794.7449951,869.5890503,579.1079102
Ptpn11,Tyrosine-protein phosphatase non-receptor type 11,P35235,"nucleus,cytoplasm,mitochondrion,cytosol,protein complex","DNA damage checkpoint,activation of MAPK activity,lipid metabolic process,triglyceride metabolic process,epidermal growth factor receptor signaling pathway,integrin-mediated signaling pathway,axonogenesis,brain development,heart development,hormone-mediated signaling pathway,positive regulation of signal transduction,cerebellar cortex formation,platelet formation,microvillus organization,abortive mitotic cell cycle,regulation of cell adhesion mediated by integrin,negative regulation of cell adhesion mediated by integrin,multicellular organism growth,organ growth,peptidyl-tyrosine dephosphorylation,megakaryocyte development,atrioventricular canal development,ERBB signaling pathway,regulation of multicellular organism growth,hormone metabolic process,glucose homeostasis,regulation of protein complex assembly,positive regulation of mitotic cell cycle,negative regulation of insulin secretion,regulation of protein export from nucleus,positive regulation of hormone secretion,negative regulation of hormone secretion,platelet-derived growth factor receptor signaling pathway,neurotrophin TRK receptor signaling pathway,ephrin receptor signaling pathway,multicellular organismal reproductive process,genitalia development,inner ear development,homeostasis of number of cells within a tissue,negative regulation of cortisol secretion,Bergmann glial cell differentiation,negative regulation of growth hormone secretion,face morphogenesis,intestinal epithelial cell migration,positive regulation of ERK1 and ERK2 cascade,cellular response to mechanical stimulus,cellular response to epidermal growth factor stimulus,positive regulation of glucose import in response to insulin stimulus","phosphoprotein phosphatase activity,protein tyrosine phosphatase activity,non-membrane spanning protein tyrosine phosphatase activity,SH3/SH2 adaptor activity,insulin receptor binding,protein binding,protein domain specific binding,receptor tyrosine kinase binding,D1 dopamine receptor binding,phospholipase binding,insulin receptor substrate binding,cell adhesion molecule binding,peptide hormone receptor binding",2.58E-14,8,10,6,6,9,7,11,9,8,10,6,6,9,7,11,9,13.69418716,22.19465446,13.01360989,18.01486588,15.14297199,20.77731323,21.62225151,17.61052895
Rab5c,Ras-related protein Rab-5C,P35278,"lysosomal membrane,early endosome,lipid particle,plasma membrane,endocytic vesicle,early endosome membrane,melanosome,extracellular exosome","endosome organization,protein transport,regulation of endocytosis,plasma membrane to endosome transport","GTPase activity,protein binding,GTP binding,GDP binding",2.42E-51,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,11,569.3187256,625.8439941,700.5193481,503.6053772,764.5032349,589.8444214,454.4208679,592.7323608
Rab6a,Isoform 2 of Ras-related protein Rab-6A,P35279-2,,,,7.28E-26,8,8,7,7,8,8,8,8,8,8,7,7,8,8,8,8,158.7406158,225.8852692,181.1925964,269.2336121,159.2002869,152.8386536,239.6197205,214.6742859
Rab21,Ras-related protein Rab-21,P35282,"endosome,early endosome,endoplasmic reticulum membrane,trans-Golgi network,focal adhesion,cytoplasmic side of plasma membrane,vesicle membrane,cytoplasmic vesicle membrane,cleavage furrow,Golgi cisterna membrane,neuron projection,extracellular exosome,cytoplasmic side of early endosome membrane,axon cytoplasm","anterograde axonal transport,protein transport,regulation of exocytosis,regulation of endocytosis,regulation of axon extension,positive regulation of receptor-mediated endocytosis,positive regulation of dendrite morphogenesis,positive regulation of early endosome to late endosome transport","GTPase activity,protein binding,GTP binding,GDP binding",6.37E-58,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,157.1299133,131.3980408,161.829071,173.4208374,151.7300873,140.9482117,133.0462799,141.7254181
Rab24,Ras-related protein Rab-24,P35290,"mitochondrion,autophagosome,cytosol,membrane","autophagy,protein transport","GTPase activity,protein binding,GTP binding",1.10E-11,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,8.821544647,7.460844994,2.195260525,10.78799343,3.916487217,13.85806942,3.616446733,11.57914352
Rab17,Ras-related protein Rab-17,P35292,"intracellular,basolateral plasma membrane,apical plasma membrane,endocytic vesicle,dendrite,melanosome,neuronal cell body,recycling endosome,recycling endosome membrane,extracellular exosome,early endosome","immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor,protein transport,establishment of melanosome localization,melanosome transport,endocytic recycling,transcytosis,filopodium assembly,regulation of dendrite development,regulation of filopodium assembly,regulation of synapse assembly,cilium morphogenesis,endocytosis","GTPase activity,protein binding,GTP binding,GDP binding",9.46E-09,3,2,2,2,2,1,2,1,3,2,2,2,2,1,2,1,9.446933746,1.681458592,3.933666706,2.724996805,2.894942522,8.636275291,0.60549885,8.228259087
Rab18,Ras-related protein Rab-18,P35293,"intracellular,Golgi apparatus,basal plasma membrane,apical plasma membrane,extracellular exosome,endoplasmic reticulum tubular network","eye development,brain development,protein transport,lipid particle organization,nuclear import,endoplasmic reticulum tubular network organization","GTPase activity,GTP binding,GDP binding",1.16E-64,10,11,11,10,10,10,10,10,10,11,11,10,10,10,10,10,260.5032043,204.4104919,272.5297546,294.434967,287.4867859,267.766449,217.0281677,204.6322174
Thbs1,Thrombospondin-1;Thrombospondin 1,P35441;Q80YQ1,"fibrinogen complex,extracellular space,endoplasmic reticulum,external side of plasma membrane,cell surface,sarcoplasmic reticulum,secretory granule,extracellular matrix,platelet alpha granule,extracellular exosome;","activation of MAPK activity,negative regulation of endothelial cell proliferation,negative regulation of cell-matrix adhesion,sprouting angiogenesis,negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,negative regulation of dendritic cell antigen processing and presentation,outflow tract morphogenesis,endocardial cushion development,growth plate cartilage development,inflammatory response,response to unfolded protein,cell cycle arrest,cell adhesion,positive regulation of cell proliferation,response to glucose,positive regulation of endothelial cell migration,negative regulation of endothelial cell migration,negative regulation of plasma membrane long-chain fatty acid transport,negative regulation of nitric oxide mediated signal transduction,negative regulation of cGMP-mediated signaling,negative regulation of plasminogen activation,positive regulation of macrophage chemotaxis,positive regulation of fibroblast migration,positive regulation of cell-substrate adhesion,cell migration,negative regulation of angiogenesis,peptide cross-linking,positive regulation of blood coagulation,positive regulation of cell migration,positive regulation of transforming growth factor beta receptor signaling pathway,regulation of cGMP metabolic process,response to magnesium ion,negative regulation of interleukin-12 production,response to endoplasmic reticulum stress,negative regulation of fibroblast growth factor receptor signaling pathway,positive regulation of phosphorylation,positive regulation of tumor necrosis factor biosynthetic process,positive regulation of macrophage activation,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of blood vessel endothelial cell migration,negative regulation of blood vessel endothelial cell migration,engulfment of apoptotic cell,positive regulation of translation,positive regulation of angiogenesis,behavioral response to pain,blood vessel morphogenesis,positive regulation of smooth muscle cell proliferation,positive regulation of chemotaxis,response to calcium ion,positive regulation of protein kinase B signaling,negative regulation of fibrinolysis,cellular response to nitric oxide,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,positive regulation of endothelial cell apoptotic process,positive regulation of reactive oxygen species metabolic process,negative regulation of endothelial cell chemotaxis;","phosphatidylserine binding,fibronectin binding,integrin binding,calcium ion binding,protein binding,heparin binding,fibroblast growth factor binding,low-density lipoprotein particle binding,laminin binding,extracellular matrix binding,fibrinogen binding,collagen V binding;",1.08E-36,22,27,17,33,19,19,25,25,22,27,17,33,19,19,25,25,95.46937561,149.8127289,62.79782867,1142.861938,48.74184418,114.8667831,143.3511047,139.4114685
Pdha1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",P35486,"nucleus,nucleolus,mitochondrion,mitochondrial matrix,myelin sheath,pyruvate dehydrogenase complex","glucose metabolic process,acetyl-CoA biosynthetic process from pyruvate,tricarboxylic acid cycle,mitochondrial acetyl-CoA biosynthetic process from pyruvate","pyruvate dehydrogenase activity,pyruvate dehydrogenase (acetyl-transferring) activity,pyruvate dehydrogenase (NAD+) activity",3.53E-35,28,24,25,25,27,28,24,24,28,24,25,25,27,28,24,24,4780.868164,1948.581177,5005.443848,1919.047363,5008.949219,3958.041748,1321.640991,1927.758545
Fah,Fumarylacetoacetase,P35505,extracellular exosome,"arginine catabolic process,L-phenylalanine catabolic process,tyrosine catabolic process","fumarylacetoacetase activity,metal ion binding",6.56E-36,29,29,30,23,29,29,28,29,29,29,30,23,29,29,28,29,3613.410645,1872.612183,3447.752686,373.5186157,3639.680176,3582.173096,1032.704346,1834.673584
Fbl,rRNA 2'-O-methyltransferase fibrillarin,P35550,"fibrillar center,dense fibrillar component,granular component,nucleus,chromosome,nucleolus,Cajal body,membrane,box C/D snoRNP complex,small-subunit processome,extracellular exosome","box C/D snoRNA 3'-end processing,osteoblast differentiation,tRNA processing,snoRNA metabolic process,rRNA methylation,snoRNA localization,histone glutamine methylation","TFIID-class transcription factor binding,RNA binding,rRNA methyltransferase activity,ATPase binding,histone-glutamine methyltransferase activity",8.40E-23,8,12,9,10,10,10,12,12,8,12,9,10,10,10,12,12,73.22590637,162.8053894,74.13722229,140.3390503,65.73640442,78.54168701,169.1940918,151.9691772
Canx,Calnexin,P35564,"endoplasmic reticulum,endoplasmic reticulum membrane,smooth endoplasmic reticulum,rough endoplasmic reticulum,ribosome,membrane,integral component of membrane,axon,extracellular matrix,dendrite cytoplasm,melanosome,neuronal cell body,dendritic spine,myelin sheath,protein complex,ER-mitochondrion membrane contact site,extracellular exosome,integral component of lumenal side of endoplasmic reticulum membrane","antigen processing and presentation of peptide antigen via MHC class I,aging,synaptic vesicle endocytosis,chaperone-mediated protein folding,clathrin-dependent endocytosis","RNA binding,calcium ion binding,protein binding,carbohydrate binding,apolipoprotein binding,ionotropic glutamate receptor binding,unfolded protein binding",7.76E-34,21,23,20,21,18,20,20,21,21,23,20,21,18,20,20,21,203.4339142,266.7414856,218.2331085,409.833374,223.6158447,259.5262451,283.1841125,268.5185547
G6pc,Glucose-6-phosphatase,P35576,"endoplasmic reticulum,integral component of membrane,integral component of endoplasmic reticulum membrane","glycogen metabolic process,glycogen catabolic process,gluconeogenesis,triglyceride metabolic process,steroid metabolic process,regulation of gene expression,glucose-6-phosphate transport,response to food,multicellular organism growth,glucose homeostasis,cholesterol homeostasis,urate metabolic process,phosphorylated carbohydrate dephosphorylation,glucose 6-phosphate metabolic process","glucose-6-phosphatase activity,phosphotransferase activity, alcohol group as acceptor,phosphate ion binding",2.21E-50,7,6,7,6,8,6,3,5,7,6,7,6,8,6,3,5,22.49852371,9.698394775,28.60576439,15.31767178,33.15293503,19.13633537,2.38090086,6.013317108
Ap1m1,AP-1 complex subunit mu-1,P35585,"trans-Golgi network,membrane,clathrin adaptor complex,clathrin-coated vesicle membrane,extracellular exosome","intracellular protein transport,vesicle-mediated transport,melanosome organization,endosome to melanosome transport",protein binding,1.26E-45,13,13,13,12,12,13,14,14,13,13,13,12,12,13,14,14,155.7671967,199.2577972,180.5422516,122.9037781,142.040802,135.3197784,222.3598633,199.8786316
Prdx1,Peroxiredoxin-1,P35700,"extracellular space,nucleus,cytoplasm,mitochondrion,cytosol,extracellular matrix,myelin sheath,extracellular exosome","response to reactive oxygen species,retina homeostasis,response to oxidative stress,cell proliferation,removal of superoxide radicals,natural killer cell activation,regulation of stress-activated MAPK cascade,erythrocyte homeostasis,natural killer cell mediated cytotoxicity,regulation of NF-kappaB import into nucleus,hydrogen peroxide catabolic process,cell redox homeostasis,oxidation-reduction process","RNA binding,peroxidase activity,protein binding,thioredoxin peroxidase activity,identical protein binding,cadherin binding",4.00E-35,31,30,28,30,28,30,29,31,31,30,28,30,28,30,29,31,11326.00977,11828.4707,12042.625,8713.832031,10803.59277,10983.87793,9155.071289,10926.41504
