"","PG.Genes","PG.ProteinDescriptions","PG.UniProtIds","PG.ProteinNames","PG.CellularComponent","PG.BiologicalProcess","PG.MolecularFunction","PG.Qvalue","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.Quantity","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.Quantity","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.Quantity","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.Quantity","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.Quantity","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.Quantity","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.Quantity","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.Quantity"
"1803","hspa4","Heat shock 70 kDa protein 4","Q3U2G2","Q3U2G2_MOUSE","","","",3.04e-46,"32","43","36","38","39","46","34","40","32","43","36","38","39","46","34","40","241.8230591","303.2121887","225.3525543","299.9839783","232.5751495","378.0490417","282.7697144","231.1149292"
"1804","serhl","Serine hydrolase-like protein","Q3U3G8;Q9EPB5","Q3U3G8_MOUSE;SERHL_MOUSE",";mitochondrion,peroxisome,cytoplasmic vesicle,perinuclear region of cytoplasm",";",";hydrolase activity",1.1e-14,"2","2","3","2","2","2","1","2","2","2","3","2","2","2","1","2","42.46448898","17.61739159","31.03012466","19.38731575","38.03226089","11.75779057","14.11016083","32.08682251"
"1805","bckdha","2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial","Q3U3J1","Q3U3J1_MOUSE","","","",1.8e-86,"15","11","14","11","14","10","9","15","15","11","14","11","14","10","9","15","185.9682617","59.99669266","180.9663239","66.98223877","163.6330872","56.760746","112.8039703","185.1815033"
"1806","ndufv3","NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial","Q3U422","Q3U422_MOUSE","","","",3.26e-32,"10","7","9","7","12","5","2","10","10","7","9","7","12","5","2","10","61.57414627","26.00701523","73.03933716","29.99614906","48.83904648","18.50797081","18.0522747","54.79189301"
"1807","sfxn3","Sideroflexin-3;Sideroflexin-3;Isoform 2 of Sideroflexin-3","Q3U4F0;Q91V61;Q91V61-2","Q3U4F0_MOUSE;SFXN3_MOUSE;SFXN3_MOUSE",";mitochondrion,integral component of membrane,mitochondrial membrane;",";biological_process,ion transmembrane transport,iron ion homeostasis;",";molecular_function,ion transmembrane transporter activity;",1.21e-30,"7","5","7","7","6","6","4","6","7","5","7","7","6","6","4","6","42.56508636","41.16076279","51.11648178","33.12264252","42.55397034","34.50019455","42.74448776","33.8478775"
"1808","pyroxd2","Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2","Q3U4I7","PYRD2_MOUSE","intracellular","oxidation-reduction process","oxidoreductase activity",1.16e-15,"9","5","8","6","6","3","5","8","9","5","8","6","6","3","5","8","26.27097702","16.82318115","25.44620705","19.95018387","29.57865143","9.733801842","18.13494301","22.63586617"
"1809","arhgef16","Rho guanine nucleotide exchange factor 16","Q3U5C8","ARHGG_MOUSE","cytoplasm","regulation of Rho protein signal transduction,cell chemotaxis,activation of GTPase activity,positive regulation of protein localization to plasma membrane","Rho guanyl-nucleotide exchange factor activity,Rho GTPase binding,PDZ domain binding,receptor tyrosine kinase binding,cadherin binding",0.001811313,"1","4","4","2","2","2","Filtered","2","0","4","4","2","2","2","Filtered","2","NaN","6.311457157","11.17259407","12.21693993","9.789856911","10.572855","Filtered","12.18541241"
"1810","cmpk2","UMP-CMP kinase 2, mitochondrial","Q3U5Q7","CMPK2_MOUSE","cytoplasm,mitochondrion","nucleoside diphosphate phosphorylation,dUDP biosynthetic process,dTDP biosynthetic process,dTTP biosynthetic process,nucleoside triphosphate biosynthetic process,cellular response to lipopolysaccharide","cytidylate kinase activity,nucleoside diphosphate kinase activity,thymidylate kinase activity,ATP binding,uridylate kinase activity,UMP kinase activity",7.68e-05,"1","3","1","3","1","2","2","3","1","3","1","3","1","2","2","3","5.250999928","8.317708969","8.125881195","10.1336689","9.632121086","7.900039673","4.300374985","5.71332407"
"1811","ddx17","DEAD (Asp-Glu-Ala-Asp) box polypeptide 17, isoform CRA_a;Probable ATP-dependent RNA helicase DDX17","Q3U741;Q501J6","Q3U741_MOUSE;DDX17_MOUSE",";nucleus,nucleolus,cytoplasm,cytosol,membrane,nuclear speck",";alternative mRNA splicing, via spliceosome,regulation of alternative mRNA splicing, via spliceosome,epithelial to mesenchymal transition,regulation of transcription from RNA polymerase II promoter,rRNA processing,RNA secondary structure unwinding,miRNA metabolic process,intracellular estrogen receptor signaling pathway,androgen receptor signaling pathway,gene silencing by RNA,myoblast differentiation,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,defense response to virus,pri-miRNA transcription from RNA polymerase II promoter,regulation of skeletal muscle cell differentiation",";transcription coactivator activity,RNA binding,ATP-dependent RNA helicase activity,protein binding,ATP binding",1.45e-20,"11","15","11","13","6","15","11","12","11","15","11","13","6","15","11","12","49.76205444","113.5055466","49.76325989","91.99713135","39.52716064","106.6101685","91.77156067","34.06219482"
"1812","esyt1","Extended synaptotagmin-1","Q3U7R1","ESYT1_MOUSE","endoplasmic reticulum,plasma membrane,membrane,integral component of endoplasmic reticulum membrane,intrinsic component of endoplasmic reticulum membrane,intracellular membrane-bounded organelle,organelle membrane contact site","lipid transport","protein binding,lipid binding,identical protein binding,metal ion binding",1.85e-48,"8","18","6","15","11","19","14","7","8","18","6","15","11","19","14","7","15.51006508","33.83627319","10.07069778","27.32819748","15.25854778","43.50163269","39.62185669","5.767290592"
"1813","htatip2","Oxidoreductase HTATIP2","Q3U816;Q9Z2G9","Q3U816_MOUSE;HTAI2_MOUSE",";nuclear envelope,cytoplasm,cytosol,membrane",";angiogenesis,apoptotic process,cell differentiation,positive regulation of programmed cell death,regulation of angiogenesis,positive regulation of transcription from RNA polymerase II promoter during mitosis,protein autophosphorylation,nuclear import,oxidation-reduction process",";protein serine/threonine kinase activity,oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,NAD binding",7.58e-20,"4","4","4","3","3","3","2","4","4","4","4","3","3","3","2","4","37.86273193","23.93323898","35.02992249","30.76692009","37.73819733","20.01932335","34.51079559","35.22117996"
"1814","mrps11","28S ribosomal protein S11, mitochondrial;28S ribosomal protein S11, mitochondrial","Q3U8Y1;Q9DCA2","Q3U8Y1_MOUSE;RT11_MOUSE",";mitochondrion,mitochondrial small ribosomal subunit",";ribosomal small subunit assembly,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),translation,mitochondrial translation",";RNA binding,structural constituent of ribosome,mRNA 5'-UTR binding,small ribosomal subunit rRNA binding",1.37e-11,"2","2","2","2","2","2","Filtered","2","2","2","2","2","2","2","Filtered","2","13.36474895","4.222998142","10.82162476","11.62881279","10.35024357","6.04750824","Filtered","13.90391445"
"1815","lbr","Lamin-B receptor","Q3U9G9","LBR_MOUSE","nuclear envelope,nuclear inner membrane,integral component of nuclear inner membrane,nuclear lamina,membrane,integral component of membrane,nuclear membrane,integral component of endoplasmic reticulum membrane","sterol biosynthetic process,oxidation-reduction process","DNA binding,RNA binding,oxidoreductase activity, acting on the CH-CH group of donors,oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor,chromo shadow domain binding",2.28e-09,"4","5","4","7","3","5","4","4","4","5","4","7","3","5","4","4","33.56607819","46.8776207","25.01024246","35.35943985","29.48005295","43.32042694","43.33934402","21.45219421"
"1816","poldip3","Polymerase delta-interacting protein 3","Q3UDD3;Q8BG81","Q3UDD3_MOUSE;PDIP3_MOUSE",";nuclear speck,cytoplasmic ribonucleoprotein granule,transcription export complex,exon-exon junction complex",";poly(A)+ mRNA export from nucleus,positive regulation of translation",";RNA binding",9.78e-19,"Filtered","2","1","2","1","3","Filtered","Filtered","Filtered","2","1","2","1","3","Filtered","Filtered","Filtered","6.342988491","4.998170853","11.17583179","2.994576454","8.754723549","Filtered","Filtered"
"1817","ttll12","Tubulin--tyrosine ligase-like protein 12","Q3UDE2","TTL12_MOUSE","cellular_component","cellular protein modification process,biological_process","molecular_function,catalytic activity,ATP binding",6.74e-36,"4","6","6","5","3","7","3","4","4","6","6","5","3","7","3","4","10.73774529","20.11802292","12.42110538","11.73269272","10.47678185","17.50810432","18.68790436","12.44885921"
"1818","mob1b;mob1b;mob1a","MOB kinase activator 1B;MOB kinase activator 1B;MOB kinase activator 1A","Q3UDM0;Q8BPB0;Q921Y0","Q3UDM0_MOUSE;MOB1B_MOUSE;MOB1A_MOUSE",";nucleus,nucleolus,cytoplasm,cytosol,extracellular exosome;nucleus,nucleolus,cytosol,extracellular exosome",";regulation of protein autophosphorylation,hippo signaling,positive regulation of phosphorylation;hippo signaling",";kinase activator activity,kinase binding,metal ion binding;metal ion binding",4.52e-06,"1","2","1","1","1","2","1","1","1","2","1","1","1","2","1","1","39.39515305","36.68374252","36.8190918","51.33427811","32.76344681","61.48654175","60.93826675","31.08143616"
"1819","ube2z","Ubiquitin-conjugating enzyme E2 Z","Q3UE37","UBE2Z_MOUSE","nucleus,nucleoplasm,cytoplasm,cytosol","apoptotic process,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,positive regulation of apoptotic process","ATP binding,ubiquitin protein ligase binding,ubiquitin protein ligase activity,ubiquitin conjugating enzyme activity",8.12e-07,"1","1","1","Filtered","Filtered","2","Filtered","1","1","1","1","Filtered","Filtered","2","Filtered","1","5.432397842","2.57961154","6.996535778","Filtered","Filtered","5.019620419","Filtered","1.826853395"
"1820","xpnpep1","X-prolyl aminopeptidase (Aminopeptidase P) 1, soluble, isoform CRA_b;Xaa-Pro aminopeptidase 1","Q3UE92;Q6P1B1","Q3UE92_MOUSE;XPP1_MOUSE",";cytoplasm,cytosol,extracellular exosome",";proteolysis,bradykinin catabolic process",";aminopeptidase activity,manganese ion binding,protein homodimerization activity,metalloaminopeptidase activity",1.8e-86,"21","24","22","22","18","23","10","24","21","24","22","22","18","23","10","24","133.4694672","121.3501282","147.378067","130.2519989","119.0411911","98.07313538","54.09514618","151.3918152"
"1821","puf60","Isoform 2 of Poly(U)-binding-splicing factor PUF60;Isoform 3 of Poly(U)-binding-splicing factor PUF60","Q3UEB3-2;Q3UEB3-3","PUF60_MOUSE",";",";",";",6.62e-19,"5","8","3","9","4","11","6","5","5","8","3","9","4","11","6","5","20.25663185","48.18302917","19.60079765","44.67870331","25.65055847","59.98339844","49.52930832","22.07498932"
"1822","agxt2","Alanine--glyoxylate aminotransferase 2, mitochondrial","Q3UEG6","AGT2_MOUSE","mitochondrion","glyoxylate catabolic process,glycine biosynthetic process, by transamination of glyoxylate,L-alanine catabolic process, by transamination,positive regulation of nitric oxide biosynthetic process","alanine-glyoxylate transaminase activity,pyridoxal phosphate binding,identical protein binding,(R)-3-amino-2-methylpropionate-pyruvate transaminase activity",1.78e-56,"19","16","19","18","19","15","10","19","19","16","19","18","19","15","10","19","203.6903687","82.68870544","184.1053772","96.02171326","177.541626","56.10578537","49.45223236","195.0774384"
"1823","pde4c","cAMP-specific 3',5'-cyclic phosphodiesterase 4C","Q3UEI1","PDE4C_MOUSE","extracellular space,cilium","cAMP catabolic process,signal transduction","3',5'-cyclic-nucleotide phosphodiesterase activity,metal ion binding",0.001228794,"2","1","1","1","3","1","Filtered","1","2","1","1","1","3","1","Filtered","1","3.448032856","5.310894966","2.310772419","0.542248487","2.626656532","0.928364754","Filtered","6.271211147"
"1824","uroc1","Urocanate hydratase","Q3UEL5;Q8VC12","Q3UEL5_MOUSE;HUTU_MOUSE",";cytosol",";histidine catabolic process,histidine catabolic process to glutamate and formamide,histidine catabolic process to glutamate and formate",";urocanate hydratase activity",3.21e-28,"6","Filtered","4","1","4","Filtered","Filtered","3","6","Filtered","4","1","4","Filtered","Filtered","3","20.05053329","Filtered","12.74668598","209.7561493","14.43492126","Filtered","Filtered","19.03284836"
"1825","fgg","Fibrinogen gamma chain","Q3UER8;Q8VCM7","Q3UER8_MOUSE;FIBG_MOUSE",";fibrinogen complex,extracellular space,cell cortex,external side of plasma membrane,cell surface,platelet alpha granule,extracellular exosome,blood microparticle",";adaptive immune response,cell-matrix adhesion,signal transduction,protein secretion,plasminogen activation,positive regulation of heterotypic cell-cell adhesion,fibrinolysis,cellular protein complex assembly,innate immune response,positive regulation of vasoconstriction,positive regulation of exocytosis,positive regulation of protein secretion,protein polymerization,response to calcium ion,positive regulation of ERK1 and ERK2 cascade,platelet aggregation,blood coagulation, fibrin clot formation,positive regulation of peptide hormone secretion,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,negative regulation of endothelial cell apoptotic process",";receptor binding,structural molecule activity,protein binding, bridging,metal ion binding,cell adhesion molecule binding",1.75e-69,"24","33","26","30","26","33","42","26","24","33","26","30","26","33","42","26","321.4990845","503.0973511","319.895813","593.0936279","341.1516418","740.2449341","7799.815918","307.2803345"
"1826","parva","Alpha-parvin","Q3UF75;Q9EPC1","Q3UF75_MOUSE;PARVA_MOUSE",";nucleus,cytoplasm,cytosol,plasma membrane,focal adhesion,actin cytoskeleton,Z disc,lamellipodium",";sprouting angiogenesis,outflow tract septum morphogenesis,cell adhesion,establishment or maintenance of cell polarity,regulation of cell shape,actin cytoskeleton reorganization,heterotypic cell-cell adhesion,substrate adhesion-dependent cell spreading,cilium morphogenesis,actin-mediated cell contraction,smooth muscle cell chemotaxis",";actin binding,protein binding,cadherin binding",3.03e-32,"9","12","10","11","7","12","7","7","9","12","10","11","7","12","7","7","34.44035721","54.54652786","33.53065491","53.61701584","19.79911804","70.84939575","45.70620728","34.62253571"
"1827","trmt10c","Mitochondrial ribonuclease P protein 1","Q3UFY8","MRRP1_MOUSE","nucleoplasm,mitochondrion,mitochondrial nucleoid","mitochondrial RNA 5'-end processing,tRNA methylation,positive regulation of mitochondrial translation,mitochondrial tRNA processing","RNA binding,tRNA (guanine-N1-)-methyltransferase activity,tRNA (adenine-N1-)-methyltransferase activity",0.000891476,"2","2","Filtered","2","Filtered","1","Filtered","1","2","2","Filtered","2","Filtered","1","Filtered","1","31.08481216","5.469942093","Filtered","10.45975018","Filtered","11.50398827","Filtered","29.97862434"
"1828","dazap1","DAZ associated protein 1, isoform CRA_b;DAZ-associated protein 1;Isoform 2 of DAZ-associated protein 1","Q3UGB5;Q9JII5;Q9JII5-2","Q3UGB5_MOUSE;DAZP1_MOUSE;DAZP1_MOUSE",";nucleus,nucleoplasm,cytoplasm,cytosol,protein complex,polysome;",";maternal placenta development,spermatogenesis,cell proliferation,cell differentiation,positive regulation of mRNA splicing, via spliceosome;",";RNA binding,poly(U) RNA binding,poly(G) binding,RNA stem-loop binding;",1.55e-13,"3","9","7","7","4","10","5","5","3","9","7","7","4","10","5","5","31.98156357","52.01103592","33.29096222","52.12033463","25.51541519","65.79703522","54.63107681","28.27407074"
"1829","eif3j1;eif3j2","Eukaryotic translation initiation factor 3 subunit J-A;Eukaryotic translation initiation factor 3 subunit J-B","Q3UGC7;Q66JS6","EI3JA_MOUSE;EI3JB_MOUSE","eukaryotic translation initiation factor 3 complex;eukaryotic translation initiation factor 3 complex","translational initiation;translational initiation","translation initiation factor activity;translation initiation factor activity",2.37e-22,"4","5","5","5","4","5","3","4","4","5","5","5","4","5","3","4","25.75925827","47.6498642","28.89309692","46.09865952","25.0773735","42.15067673","43.28346252","22.29259109"
"1830","hdhd2","Haloacid dehalogenase-like hydrolase domain-containing protein 2","Q3UGR5","HDHD2_MOUSE","extracellular exosome","dephosphorylation","phosphatase activity,enzyme binding,metal ion binding",1.43e-30,"7","4","7","5","4","5","4","6","7","4","7","5","4","5","4","6","116.686554","77.0043869","127.487648","75.54792023","87.71781921","77.71278381","44.08615875","98.1397171"
"1831","myh10","Myosin-10","Q3UH59;Q61879","Q3UH59_MOUSE;MYH10_MOUSE",";stress fiber,nucleus,cytoplasm,cytosol,brush border,cell cortex,myosin complex,myosin II complex,lamellipodium,axon,growth cone,midbody,cleavage furrow,actomyosin,neuron projection,neuronal cell body,dendritic spine,extracellular exosome,myosin II filament,spindle,plasma membrane,neuromuscular junction",";mitotic cytokinesis,in utero embryonic development,neuron migration,plasma membrane repair,cardiac septum development,exocytosis,substrate-dependent cell migration, cell extension,nuclear migration,cell adhesion,axonogenesis,axon guidance,brain development,heart development,adult heart development,cell proliferation,regulation of cell shape,fourth ventricle development,lateral ventricle development,third ventricle development,cerebellar Purkinje cell layer development,actin cytoskeleton organization,actin filament-based movement,myofibril assembly,actomyosin structure organization,neuron projection development,aorta development,neuromuscular process controlling balance,cardiac myofibril assembly,ventricular cardiac muscle cell development,retina development in camera-type eye,coronary vasculature development,modification of postsynaptic actin cytoskeleton",";microfilament motor activity,protein binding,calmodulin binding,ATP binding,ATPase activity,actin-dependent ATPase activity,ADP binding,actin filament binding",1.8e-86,"49","83","52","81","49","84","73","49","49","83","52","81","49","84","73","49","290.0567017","633.3532104","270.2297363","677.8693848","264.666748","700.4078369","859.8582153","297.7534485"
