"","PG.BiologicalProcess","PG.CellularComponent","PG.Genes","PG.MolecularFunction","PG.ProteinDescriptions","PG.ProteinNames","PG.Qvalue","PG.UniProtIds","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity"
"1924","neural crest cell migration,neural tube closure,Rho protein signal transduction,actin cytoskeleton organization,positive regulation of catalytic activity,negative regulation of catalytic activity,enteric nervous system development,regulation of cell cycle,closure of optic fissure,negative regulation of integrin-mediated signaling pathway;;","intracellular,cytoplasm,lamellipodium;;","phactr4","actin binding,protein phosphatase inhibitor activity,protein phosphatase 1 binding,protein phosphatase activator activity;;","Phosphatase and actin regulator 4;Isoform 2 of Phosphatase and actin regulator 4;Isoform 3 of Phosphatase and actin regulator 4","PHAR4_MOUSE",1.26e-14,"Q501J7;Q501J7-2;Q501J7-3",2,0,2,2,2,2,2,2,17.45343399,8.510084152,23.01005363,13.36297989
"1925","protein dephosphorylation","mitochondrion","pdp2","protein serine/threonine phosphatase activity,[pyruvate dehydrogenase (lipoamide)] phosphatase activity,metal ion binding","MCG53395","Q504M2_MOUSE",0.000570755,"Q504M2",2,0,2,3,3,3,3,3,36.36341095,30.25583458,19.52400589,75.84316254
"1926","visual perception,regulation of lipid metabolic process,growth,neuromuscular process,mitochondrion morphogenesis","mitochondrion","opa3","molecular_function","Optic atrophy 3 protein homolog","OPA3_MOUSE",3.36e-36,"Q505D7",1,1,1,2,2,2,2,2,14.75608444,34.61153793,17.05204773,34.13283539
"1927",";hematopoietic progenitor cell differentiation,mRNA processing,RNA splicing,negative regulation of mRNA splicing, via spliceosome",";nuclear speck","srsf4",";RNA binding","Serine/arginine-rich-splicing factor 4;Serine/arginine-rich splicing factor 4","Q542V3_MOUSE;SRSF4_MOUSE",2.62e-53,"Q542V3;Q8VE97",4,4,4,4,4,4,4,4,1460.517456,1536.809326,1558.714844,1392.498901
"1928",";peptidyl-tyrosine dephosphorylation;",";cytoplasm,cytosol,cytoplasmic side of plasma membrane,sarcolemma,extracellular exosome;","acp1",";acid phosphatase activity,non-membrane spanning protein tyrosine phosphatase activity,phosphatase activity;","Acp1 protein;Low molecular weight phosphotyrosine protein phosphatase;Isoform 2 of Low molecular weight phosphotyrosine protein phosphatase","Q561M1_MOUSE;PPAC_MOUSE;PPAC_MOUSE",2.98e-32,"Q561M1;Q9D358;Q9D358-2",6,6,6,6,6,6,6,6,354.6181335,363.760437,411.3656616,491.5734863
"1929","mRNA splicing, via spliceosome,regulation of gene expression,RNA secondary structure unwinding","fibrillar center,nucleus,nucleolus,cytoplasm,Cajal body,membrane,nuclear speck","ddx46","RNA binding,ATP-dependent RNA helicase activity,ATP binding","Probable ATP-dependent RNA helicase DDX46","DDX46_MOUSE",7.17e-34,"Q569Z5",12,9,13,11,7,7,7,7,268.5123291,224.8843994,318.618927,286.4359436
"1930","regulation of alternative mRNA splicing, via spliceosome,nuclear-transcribed mRNA catabolic process,transcription from RNA polymerase II promoter,transcription initiation from RNA polymerase II promoter,mRNA processing,circadian rhythm,RNA splicing,intracellular steroid hormone receptor signaling pathway,androgen receptor signaling pathway,positive regulation of circadian rhythm,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,positive regulation of mRNA splicing, via spliceosome,mRNA stabilization","nucleus,nucleoplasm,mediator complex,nuclear speck,extracellular exosome,exon-exon junction complex","thrap3","core promoter sequence-specific DNA binding,RNA polymerase II transcription cofactor activity,transcription cofactor activity,transcription coactivator activity,RNA binding,receptor activity,protein binding,ATP binding,thyroid hormone receptor binding,phosphoprotein binding","Thyroid hormone receptor-associated protein 3","TR150_MOUSE",1.35e-23,"Q569Z6",8,8,7,8,7,7,7,7,147.2695923,139.7436829,178.4560394,143.3470459
"1931","metabolic process","lysosome,extracellular exosome","galns","sulfuric ester hydrolase activity,N-acetylgalactosamine-6-sulfatase activity,metal ion binding","N-acetylgalactosamine-6-sulfatase","GALNS_MOUSE",3.79e-33,"Q571E4",9,9,10,10,7,7,7,7,357.8377075,273.5354614,317.6791687,338.1898804
"1932","activation of MAPK activity,activation of JUN kinase activity,vesicle-mediated transport,positive regulation of cell migration,retrograde transport, endosome to Golgi,positive regulation of MAPK cascade,positive regulation of neuron differentiation,striated muscle cell differentiation,positive regulation of muscle cell differentiation,protein homooligomerization,negative regulation of protein homodimerization activity;","cytoplasm,microtubule organizing center,cytosol,perinuclear region of cytoplasm,extracellular exosome;","spag9","MAP-kinase scaffold activity,protein binding,JUN kinase binding,kinesin binding,receptor signaling complex scaffold activity,mitogen-activated protein kinase p38 binding;","C-Jun-amino-terminal kinase-interacting protein 4;Isoform 2 of C-Jun-amino-terminal kinase-interacting protein 4","JIP4_MOUSE",5.09e-42,"Q58A65;Q58A65-2",10,9,11,10,7,7,7,7,121.8384247,144.7925568,169.1484985,155.961319
"1933","respiratory electron transport chain,cellular respiration,negative regulation of insulin secretion involved in cellular response to glucose stimulus,reactive oxygen species metabolic process","mitochondrion,membrane","ndufaf2","NADH dehydrogenase (ubiquinone) activity,electron carrier activity","Mimitin, mitochondrial","MIMIT_MOUSE",8.66e-05,"Q59J78",2,1,2,1,2,2,2,2,90.48825073,231.4907227,59.68920898,106.1676483
"1934","biological_process","cellular_component","","identical protein binding","Uncharacterized protein C1orf50 homolog","CA050_MOUSE",2.53e-31,"Q5EBG8",3,1,2,3,3,3,3,3,18.10967445,10.43868732,14.60361862,32.90839386
"1935","glucose metabolic process,transcription, DNA-templated,regulation of transcription, DNA-templated,protein phosphorylation,fatty acid biosynthetic process,cholesterol biosynthetic process,autophagy,positive regulation of cell proliferation,lipid biosynthetic process,response to UV,cold acclimation,response to gamma radiation,positive regulation of autophagy,positive regulation of gene expression,response to activity,Wnt signaling pathway,fatty acid oxidation,response to caffeine,cellular response to nutrient levels,negative regulation of TOR signaling,regulation of peptidyl-serine phosphorylation,histone-serine phosphorylation,cellular response to glucose starvation,response to hydrogen peroxide,glucose homeostasis,regulation of circadian rhythm,negative regulation of apoptotic process,positive regulation of glycolytic process,rhythmic process,positive regulation of skeletal muscle tissue development,negative regulation of lipid catabolic process,protein heterooligomerization,fatty acid homeostasis,regulation of vesicle-mediated transport,CAMKK-AMPK signaling cascade,cellular response to hydrogen peroxide,cellular response to ethanol,cellular response to prostaglandin E stimulus,cellular response to organonitrogen compound,cellular response to hypoxia,response to camptothecin,regulation of energy homeostasis,negative regulation of glucose import in response to insulin stimulus","intracellular,nucleus,cytoplasm,cytosol,apical plasma membrane,nuclear speck,nucleotide-activated protein kinase complex","prkaa1","chromatin binding,protein kinase activity,AMP-activated protein kinase activity,protein binding,ATP binding,protein C-terminus binding,kinase binding,histone serine kinase activity,metal ion binding,[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity,tau-protein kinase activity,[acetyl-CoA carboxylase] kinase activity","5'-AMP-activated protein kinase catalytic subunit alpha-1","AAPK1_MOUSE",1.69e-35,"Q5EG47",4,4,4,4,4,4,4,4,95.68721008,91.29008484,123.0248642,109.9477768
"1936","","","git1","","ARF GTPase-activating protein GIT1","Q5F258_MOUSE",9.34e-19,"Q5F258",7,6,8,8,7,7,7,7,106.2165985,144.7104187,164.0017395,128.1020508
"1937","energy reserve metabolic process,transport,insulin receptor signaling pathway,olfactory learning,aerobic respiration,positive regulation of gene expression,negative regulation of lipid storage,positive regulation of glucose metabolic process,heat generation,glucose homeostasis,locomotor rhythm,negative regulation of gluconeogenesis,positive regulation of lipid metabolic process,negative regulation of transcription, DNA-templated,negative regulation of lipid biosynthetic process,positive regulation of protein kinase B signaling,negative regulation of insulin secretion involved in cellular response to glucose stimulus,mitochondrion morphogenesis,cellular response to lipid","extracellular region,extracellular space,nucleus,cytosol","mup20","mating pheromone activity,insulin-activated receptor activity,transporter activity,pheromone binding,small molecule binding","Major urinary protein 20","MUP20_MOUSE",1.4e-21,"Q5FW60",5,3,5,6,6,6,6,6,529.1282959,65.29216766,430.7012634,564.1036377
"1938","small GTPase mediated signal transduction,endosome localization,transferrin transport,regulation of GTPase activity,positive regulation of GTPase activity,ferric iron import across plasma membrane,negative regulation of endocytic recycling","ruffle,cytoplasm,plasma membrane,endosome membrane,cell leading edge,perinuclear region of cytoplasm,extracellular exosome,sorting endosome","arhgap1","GTPase activator activity,protein binding,SH3 domain binding,Rab GTPase binding,cadherin binding","Rho GTPase-activating protein 1","RHG01_MOUSE",6.48e-42,"Q5FWK3",17,15,17,16,7,7,7,7,2000.036255,1839.22229,2037.404541,1794.539307
"1939","methylation","integral component of membrane","mettl7a2","methyltransferase activity","Methyltransferase like 7A2","Q5I0W6_MOUSE",5.86e-39,"Q5I0W6",14,13,15,15,13,13,13,13,1803.949707,2025.927612,1203.537354,1393.160522
"1940","biological_process,oxidation-reduction process;","nucleus;","sdr39u1","molecular_function,oxidoreductase activity,coenzyme binding;","Epimerase family protein SDR39U1;Isoform 2 of Epimerase family protein SDR39U1","D39U1_MOUSE",2.09e-40,"Q5M8N4;Q5M8N4-2",10,9,8,9,8,8,8,8,520.1556396,442.2191162,210.160141,535.8150024
"1941","ER to Golgi vesicle-mediated transport,positive regulation of GTPase activity","endoplasmic reticulum,Golgi apparatus,TRAPP complex","trappc1","protein binding,Rab guanyl-nucleotide exchange factor activity","Trafficking protein particle complex subunit 1","TPPC1_MOUSE",4.28e-34,"Q5NCF2",3,3,3,3,3,3,3,3,155.2368927,175.7675781,196.008606,189.9927673
"1942",";regulation of blood vessel size by renin-angiotensin,acute-phase response,response to organic substance,negative regulation of plasminogen activation,negative regulation of endopeptidase activity,collagen fibril organization,positive regulation of collagen biosynthetic process,positive regulation of cell differentiation,positive regulation of transcription from RNA polymerase II promoter,positive regulation of JNK cascade,blood vessel morphogenesis,positive regulation of smooth muscle cell proliferation,positive regulation of stress fiber assembly,negative regulation of fibrinolysis,positive regulation of ERK1 and ERK2 cascade,positive regulation of transforming growth factor beta production",";fibrinogen complex,extracellular space,cell surface,extracellular exosome,blood microparticle","serpinf2",";protease binding,serine-type endopeptidase inhibitor activity,protein homodimerization activity","Alpha-2-antiplasmin (Fragment);Alpha-2-antiplasmin","Q5ND35_MOUSE;A2AP_MOUSE",0.001026708,"Q5ND35;Q61247",0,1,2,1,2,2,2,2,4.819314003,10.80595493,12.37626648,6.604045391
"1943",";;exocytosis,Golgi to plasma membrane transport,protein transport,phosphatidylinositol-mediated signaling,positive regulation of protein secretion,exocyst localization,membrane organization",";;exocyst,cytoplasm,plasma membrane,membrane,midbody,cytoplasmic side of apical plasma membrane","exoc1",";;phosphatidylinositol-4,5-bisphosphate binding,GTP-Rho binding","Exocyst complex component 1","Q5PPR2_MOUSE;Q6P1Y9_MOUSE;EXOC1_MOUSE",3.31e-16,"Q5PPR2;Q6P1Y9;Q8R3S6",6,6,6,5,6,6,6,6,54.49240875,62.67247009,65.79800415,55.85434723
"1944","Mo-molybdopterin cofactor biosynthetic process,molybdopterin cofactor biosynthetic process;","molybdopterin synthase complex;","mocs1","GTP binding,metal ion binding,4 iron, 4 sulfur cluster binding,Requires Ontology;","Molybdenum cofactor biosynthesis protein 1;Isoform 3 of Molybdenum cofactor biosynthesis protein 1","MOCS1_MOUSE",4.23e-05,"Q5RKZ7;Q5RKZ7-3",2,2,1,2,2,2,2,2,16.21437454,40.2278862,18.66276169,23.82432747
"1945",";translation",";mitochondrion,mitochondrial large ribosomal subunit","mrpl43",";RNA binding,structural constituent of ribosome","39S ribosomal protein L43, mitochondrial;39S ribosomal protein L43, mitochondrial","Q5RL20_MOUSE;RM43_MOUSE",1.23e-13,"Q5RL20;Q99N89",2,2,1,2,2,2,2,2,53.34567261,70.53909302,30.69935417,73.16468811
"1946",";ribosomal large subunit export from nucleus,ribosomal small subunit export from nucleus,cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA),cardiac muscle hypertrophy,DNA repair,nucleosome assembly,rRNA export from nucleus,cell volume homeostasis,nucleocytoplasmic transport,centrosome cycle,cell aging,protein localization,positive regulation of cell proliferation,negative regulation of cell proliferation,rRNA transcription,posttranscriptional regulation of gene expression,negative regulation of gene expression,negative regulation of cardiac muscle cell apoptotic process,regulation of centrosome duplication,positive regulation of centrosome duplication,negative regulation of centrosome duplication,cell growth,positive regulation of cellular biosynthetic process,positive regulation of protein ubiquitination,regulation of protein stability,regulation of endodeoxyribonuclease activity,cellular response to UV,ribosomal large subunit biogenesis,ribosomal small subunit biogenesis,negative regulation of apoptotic process,regulation of DNA damage response, signal transduction by p53 class mediator,negative regulation of neuron apoptotic process,negative regulation of protein kinase activity by regulation of protein phosphorylation,positive regulation of translation,positive regulation of DNA replication,positive regulation of protein kinase activity,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,regulation of centriole replication,negative regulation of mRNA splicing, via spliceosome,negative regulation of epithelial cell proliferation,protein stabilization,positive regulation of NF-kappaB transcription factor activity,protein oligomerization,protein homooligomerization,regulation of cell cycle,regulation of endoribonuclease activity,regulation of eIF2 alpha phosphorylation by dsRNA,cellular response to testosterone stimulus,cellular response to hypoxia,liver regeneration,positive regulation of DNA-directed DNA polymerase activity,positive regulation of cell cycle G2/M phase transition,positive regulation of protein localization to nucleolus",";granular component,nucleus,nucleoplasm,nucleolus,cytoplasm,centrosome,cytosol,focal adhesion,large ribosomal subunit,small ribosomal subunit,membrane,nuclear matrix,nuclear speck,intracellular ribonucleoprotein complex,spindle pole centrosome,protein-DNA complex,protein complex","npm1",";core promoter binding,RNA polymerase II transcription coactivator activity,p53 binding,transcription coactivator activity,RNA binding,protein kinase inhibitor activity,protein binding,ATP binding,phosphatidylinositol-3,4,5-trisphosphate binding,transcription factor binding,rRNA binding,protein kinase binding,Tat protein binding,activating transcription factor binding,histone binding,protein homodimerization activity,ribosomal large subunit binding,ribosomal small subunit binding,protein kinase B binding,protein heterodimerization activity,protein N-terminus binding,NF-kappaB binding,unfolded protein binding","Nucleophosmin","Q5SQB0_MOUSE;NPM_MOUSE",2.34e-41,"Q5SQB0;Q61937",14,14,14,14,13,13,13,13,2144.012695,2175.219727,2620.803711,1771.25708
"1947","apoptotic process,neuron projection development,positive regulation of proteolysis,positive regulation of neurotrophin TRK receptor signaling pathway,activation of cysteine-type endopeptidase activity,dendrite extension,cell-cell adhesion","nucleus,cytoplasm,membrane,cell junction,neuron projection,synapse,perinuclear region of cytoplasm,extracellular exosome","cyfip2","protein binding","Cytoplasmic FMR1-interacting protein 2","CYFP2_MOUSE",2.48e-13,"Q5SQX6",2,2,3,3,3,3,3,3,19.76675415,11.76686478,8.086050987,14.4021616
"1948","intracellular protein transport,signal transduction,negative regulation of mitotic nuclear division","intracellular,extracellular exosome","tom1l2","protein kinase binding,clathrin binding","TOM1-like protein 2","TM1L2_MOUSE",3.53e-12,"Q5SRX1",6,6,6,6,7,7,7,7,152.0361023,155.8257751,157.1177063,126.4083633
